Timestamp,Amount (INR),Sender,UPI ID,Platform,Category,Item,Receiver
1/1/2023 0:00,1281.885182,Varun Iyer,varuniyer@upi,Bank UPI,Groceries,Vegetables,Super Market Pvt Ltd
1/1/2023 1:00,4723.693403,Akhil Sharma,akhilsharma@upi,PhonePe,Frozen Foods,Pasta,Super Market Pvt Ltd
1/1/2023 2:00,3560.004725,Rajesh Gupta,rajeshgupta@upi,Amazon Pay,Furniture,Chair,Super Market Pvt Ltd
1/1/2023 3:00,1446.173786,Siddharth Roy,siddharthroy@upi,BHIM UPI,Stationery,pens,Super Market Pvt Ltd
1/1/2023 4:00,5126.894364,Simran Kaur,simrankaur@upi,BHIM UPI,Furniture,Sofa,Super Market Pvt Ltd
1/1/2023 5:00,3942.309424,Varun Iyer,varuniyer@upi,Paytm,Stationery,Book,Super Market Pvt Ltd
1/1/2023 6:00,4090.047801,Sonali Bhatia,sonalibhatia@upi,Paytm,Footwear,Men shoes,Super Market Pvt Ltd
1/1/2023 7:00,3694.463917,Vivek Saxena,viveksaxena@upi,BHIM UPI,Frozen Foods,Tortilla,Super Market Pvt Ltd
1/1/2023 8:00,1002.759104,Akhil Sharma,akhilsharma@upi,BHIM UPI,Footwear,women shoes,Super Market Pvt Ltd
1/1/2023 9:00,2521.960928,Varun Iyer,varuniyer@upi,PhonePe,Furniture,Chair,Super Market Pvt Ltd
1/1/2023 10:00,1621.797576,Simran Kaur,simrankaur@upi,BHIM UPI,Frozen Foods,Pizza,Super Market Pvt Ltd
1/1/2023 11:00,3441.392876,Divya Nair,divyanair@upi,Google Pay,Frozen Foods,Tortilla,Super Market Pvt Ltd
1/1/2023 12:00,4037.246555,Sonali Bhatia,sonalibhatia@upi,Paytm,Stationery,arcylic paints,Super Market Pvt Ltd
1/1/2023 13:00,2406.559083,Manoj Tiwari,manojtiwari@upi,Bank UPI,Footwear,women shoes,Super Market Pvt Ltd
1/1/2023 14:00,5487.566314,Pranav Bajaj,pranavbajaj@upi,Paytm,Footwear,kids footwear,Super Market Pvt Ltd
1/1/2023 15:00,4177.171221,Nikhil Pandey,nikhilpandey@upi,Google Pay,Stationery,combo set(pen+pencil+eraser+ruler+sharpner),Super Market Pvt Ltd
1/1/2023 16:00,4960.737682,Arjun Malhotra,arjunmalhotra@upi,Paytm,Clothing,Jeans,Super Market Pvt Ltd
1/1/2023 17:00,5388.643644,Akhil Sharma,akhilsharma@upi,BHIM UPI,Frozen Foods,french fries,Super Market Pvt Ltd
1/1/2023 18:00,4044.284287,Ramesh Chandra,rameshchandra@upi,Paytm,Frozen Foods,Ice Cream,Super Market Pvt Ltd
1/1/2023 19:00,1128.792854,Manoj Tiwari,manojtiwari@upi,Google Pay,Clothing,Jacket,Super Market Pvt Ltd
1/1/2023 20:00,1947.786606,Ramesh Chandra,rameshchandra@upi,Paytm,Stationery,exam pads,Super Market Pvt Ltd
1/1/2023 21:00,3754.780733,Shweta Joshi,shwetajoshi@upi,Bank UPI,Furniture,Sofa,Super Market Pvt Ltd
1/1/2023 22:00,2989.526952,Siddharth Roy,siddharthroy@upi,Bank UPI,Frozen Foods,french fries,Super Market Pvt Ltd
1/1/2023 23:00,3630.977009,Sneha Kapoor,snehakapoor@upi,Bank UPI,Footwear,kids footwear,Super Market Pvt Ltd
1/2/2023 0:00,1665.243783,Ayesha Khan,ayeshakhan@upi,Bank UPI,Frozen Foods,Pizza,Super Market Pvt Ltd
1/2/2023 1:00,3234.791622,Sneha Kapoor,snehakapoor@upi,BHIM UPI,Frozen Foods,Pasta,Super Market Pvt Ltd
1/2/2023 2:00,1023.809033,Arjun Malhotra,arjunmalhotra@upi,Bank UPI,Clothing,Shirt,Super Market Pvt Ltd
1/2/2023 3:00,3660.466594,Manoj Tiwari,manojtiwari@upi,Bank UPI,Groceries,Wheat,Super Market Pvt Ltd
1/2/2023 4:00,3587.031445,Pranav Bajaj,pranavbajaj@upi,PhonePe,Furniture,Chair,Super Market Pvt Ltd
1/2/2023 5:00,5788.775526,Varun Iyer,varuniyer@upi,Bank UPI,Furniture,Chair,Super Market Pvt Ltd
1/2/2023 6:00,2952.787084,Meera Menon,meeramenon@upi,BHIM UPI,Frozen Foods,french fries,Super Market Pvt Ltd
1/2/2023 7:00,2492.228319,Vivek Saxena,viveksaxena@upi,Bank UPI,Groceries,Fruits,Super Market Pvt Ltd
1/2/2023 8:00,2363.026104,Siddharth Roy,siddharthroy@upi,Paytm,Furniture,Wardrobe,Super Market Pvt Ltd
1/2/2023 9:00,4626.25941,Shweta Joshi,shwetajoshi@upi,Bank UPI,Footwear,reg footwear,Super Market Pvt Ltd
